target_id,K_construction,depth,var_target,target_scale,alpha_rigidity_median_rule,alpha_rigidity_min_rule,alpha_rigidity_swap_rule,trivial_leaf_nmse,grid_hash
reviewer_ce,7,4,0.013278186448337006,1.0953065080866864,1.0,0.6666666666666666,0.6666666666666666,1.612841897055812,afdcc86b0846a2bb27a563e33fe65164dc62fc4b
K07_00,7,4,12.935998848502534,19.34632661387892,0.0,0.0,0.0,8.039693171799431,313243bbcf71e9dbea4abdd375a88ffa973b2691
K07_01,7,4,0.17261907575418714,2.2402657948877374,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.9525131835620826,ef20fa73d2fc9bbf13f0dd698bb9f2e22a4dfa05
K07_02,7,4,51653.71136504296,936.0977356645712,0.0,0.0,0.3333333333333333,2.3305298706973985,c69506ea3f00a607546224f1a2777f9a23364e0f
K07_03,7,3,0.004057505669661537,14.67000115458704,1.0,1.0,0.6666666666666666,35879.95062290352,3c1be8d83aa8e24b7e1b7990eac572429be8ffc2
K07_04,7,4,10.844166026959758,16.922203655753517,0.0,0.0,0.3333333333333333,6.359789401054734,9b42bc6fbbe07ea495e7e59eeb534a43f6ca392d
K07_05,7,4,0.09747021424762135,1.0,0.6666666666666666,0.0,0.3333333333333333,5.913069812902235,95b64cfe4bd47a8b8c337207b31e2485085d81f7
K07_06,7,4,13.7662264660913,18.2646761405664,0.0,0.0,0.3333333333333333,5.951258752475566,ed8fa9a1f9f97dd2c438f6ed320155bcd26f5bed
K07_07,7,4,0.013314094935341471,1.09530650053361,1.0,0.6666666666666666,0.6666666666666666,1.612742175755746,8e78896e786f3e270c588d90e5b3eedb63579485
K07_08,7,4,0.024937581424795758,1.3388004215480294,1.0,0.3333333333333333,1.0,1.2300834136227394,0c79453563a9abf6e73267629b7a350e17afe83e
K07_09,7,4,12.935998848502528,17.16936964003279,0.0,0.0,0.3333333333333333,5.159844704423756,045e4cdc5f01ce019aa33a7dd2393eb27fa8f500
K07_10,7,3,0.5091769317007916,6.539805351671948,0.6666666666666666,0.6666666666666666,0.6666666666666666,15.674678006047344,19f48e03686a5f22c50b6a8e539e1108bcc36c11
K07_11,7,4,0.013314094935341464,4.876856062560352,1.0,1.0,0.6666666666666666,364.2179325490715,292b3c2728277bc308ba514c3893f7ec2976ba99
K07_12,7,4,21.997227823368256,22.629849451120258,0.0,0.0,0.0,7.101779988726322,97460d3579d17c1ade0ee5f161227ce90c7928e5
K07_13,7,4,2.926030501890078,9.193961325654982,0.0,0.0,0.3333333333333333,1.9983683956638651,8bdfd49ea9d57410eaca09985b465a412fa89888
K07_14,7,4,12.993420611089588,17.244391856493078,0.0,0.0,0.3333333333333333,5.212597438134615,b0546644ede312a8e00dc53edbe901b7392f7671
K07_15,7,4,0.23270026474041963,1.332615100627348,1.0,0.0,1.0,2.621727668960739,66a01ad5f2b059a3812d71085353371e06f0f1a3
K07_16,7,4,10.693105329979039,17.060482681986404,0.0,0.0,0.6666666666666666,6.698931363145324,20d61108ccde099880214c82ad6724d32d5d6f63
K07_17,7,4,202822.1069837453,1881.4637657416622,0.0,0.0,0.0,2.776555242576377,5c805e6c8c6c855c5257635c92a140d3cc26d448
K07_18,7,3,0.42262159655053444,6.836610633964451,0.6666666666666666,0.6666666666666666,0.3333333333333333,24.112012834433465,4424d37edb607b1eff816b9284d0137bf6c8d907
K07_19,7,3,0.9965577691376889,5.529904361572938,0.6666666666666666,0.3333333333333333,0.6666666666666666,2.96359972979391,9de7afa8190e0e69165ab3274bf3d9b51a1f3edb
K07_20,7,4,12.724070430667235,19.083848483390693,0.0,0.0,0.0,7.8385110207896656,9a739acca88fed8082b1b1ff5c7c646a2582195c
K07_21,7,3,0.08168316831683166,13.144361251380253,1.0,0.6666666666666666,0.6666666666666666,1266.3046313384095,e9d6af261ce5dc2fbc78920e914341c3764435e4
