target_id,K_construction,K_proven,m_operators,regime,seed,converged,exact_hash_match,gens_to_converge,final_nmse,final_tree_size,terminal_state,wall_seconds
K11_RS00,11,11,5,A,1753007184,true,true,5,0.0,11,converged,0.17047810554504395
K11_RS00,11,11,5,A,2107424273,true,true,8,0.0,11,converged,0.1658618450164795
K11_RS00,11,11,5,A,418825361,true,true,25,0.0,11,converged,0.18721580505371094
K11_RS00,11,11,5,A,215858185,true,true,9,0.0,11,converged,0.21834492683410645
K11_RS00,11,11,5,A,449904892,true,true,12,0.0,11,converged,0.21899890899658203
K11_RS00,11,11,5,A,1667643188,true,true,10,0.0,11,converged,0.14760994911193848
K11_RS00,11,11,5,B,128182595,false,false,,0.0007676594404447713,51,budget_exhausted,5.478738784790039
K11_RS00,11,11,5,B,1845143962,false,false,,0.5704983930712578,63,budget_exhausted,6.272305965423584
K11_RS00,11,11,5,B,418825361,false,false,,0.009216693657377446,59,budget_exhausted,6.521843194961548
K11_RS00,11,11,5,B,215858185,false,false,,7.659974254557897e-06,33,budget_exhausted,4.095868110656738
K11_RS00,11,11,5,B,449904892,false,false,,0.13768981012178919,71,budget_exhausted,7.739399194717407
K11_RS00,11,11,5,B,1667643188,false,false,,0.00014303720143304472,45,budget_exhausted,4.963579177856445
K11_RS00,11,11,5,B,1683375127,false,false,,5.957241429023221e-06,43,budget_exhausted,4.543721914291382
K11_RS00,11,11,5,B,893706906,false,false,,0.056461034387413955,143,budget_exhausted,10.717012166976929
K11_RS00,11,11,5,B,1753007184,true,true,32,0.0,11,converged,0.8471808433532715
K11_RS00,11,11,5,B,2107424273,false,false,,0.006672869004543199,89,budget_exhausted,8.307883024215698
K11_RS01,11,11,5,B,1683375127,true,true,27,0.0,11,converged,1.009291172027588
K11_RS01,11,11,5,B,893706906,true,true,54,0.0,11,converged,1.4709219932556152
K11_RS01,11,11,5,B,1753007184,true,true,86,0.0,11,converged,3.366934061050415
K11_RS01,11,11,5,B,2107424273,true,true,75,0.0,11,converged,2.085076093673706
K11_RS01,11,11,5,A,128182595,true,true,66,0.0,11,converged,1.5094308853149414
K11_RS01,11,11,5,A,1845143962,true,true,32,0.0,11,converged,0.2677156925201416
K11_RS01,11,11,5,A,1683375127,true,true,8,0.0,11,converged,0.14903497695922852
