target_id,K_construction,depth,var_target,target_scale,alpha_rigidity_median_rule,alpha_rigidity_min_rule,alpha_rigidity_swap_rule,trivial_leaf_nmse,grid_hash
K11_RS00,11,5,0.018767393336018255,1.4813080041945172,0.6,0.2,0.8,4.634248991407009,ecb5d12939d8fe0361551e998b811901a61fed79
K11_RS01,11,5,0.013713629436386671,2.946450809888284,0.8,0.6,0.6,15.154596217271303,ba1e8d2241ecab11a41e4437895387e754ed31a9
K11_RS02,11,6,0.011749230372046695,3.4434129104399642,1.0,0.8,1.0,50.66828421877356,4b1496db7149707196377a05efe58b97e8badf92
K11_RS03,11,6,0.28151125693902057,3.0071821956805036,0.8,0.0,0.6,0.493408466115243,b06f4f7b172e64984d60a03409a97c937ef92321
K11_RS04,11,6,0.33918793028565625,2.583281374442855,0.8,0.0,0.6,2.1322294861193907,26382808369314d0d17e46512b7069656ceb858e
K13_RS00,13,7,0.09142380890634338,2.9488423481647184,0.6666666666666666,0.16666666666666666,0.5,0.05074209932994367,b67fe96b5434fe73737bd791652537268c3437f0
K13_RS01,13,6,9.838428724538831e-05,1.0,1.0,0.6666666666666666,0.8333333333333334,10081.128841433512,4e64d0044a570e84a0cd222971cd31ee74d4b75f
K13_RS02,13,5,0.20854282968229662,1.803153390027279,0.8333333333333334,0.0,0.6666666666666666,2.6497285526364407,7ccb7b8f2b8698780365d2cb3316afa130046d64
K15_RS00,15,7,0.00016449608362038439,2.6616324003327723,1.0,0.8571428571428571,0.7142857142857143,572.2068359608033,17c9032298de332fb7f5ddf44b176868e3929cdc
K15_RS01,15,7,0.0008084525894742728,4.804880836719337,1.0,0.8571428571428571,1.0,6288.766092171376,fd8285af3852bd126d5d32ae5a7ccd9f01d376f3
K15_RS02,15,7,0.003306221183442033,1.0,0.5714285714285714,0.2857142857142857,0.42857142857142855,252.19076321266064,39b4e48be822027f16e072a1353c626e6302871e
K19_RS00,19,9,0.8690767586710351,4.894164579576357,0.8888888888888888,0.5555555555555556,0.8888888888888888,15.623854245398427,883debf56961f8f9aebe29a017fbca9536f10055
K19_RS01,19,8,0.07979222038171013,4.190121725133124,0.7777777777777778,0.4444444444444444,0.7777777777777778,130.45662406300303,ca0ccddba2ea1b6d850a0bc54efb500a9e93ba8e
K19_RS02,19,10,0.004808473235814402,1.0,0.8888888888888888,0.3333333333333333,0.8888888888888888,12.729181054312551,65b27b79db98fae3ae9bc7cc8555431e1ca58361
K19_RS03,19,8,0.18850150745804528,4.0154105684540085,1.0,0.5555555555555556,1.0,54.59610094517774,a07a317d4d6e44225cdaec89c10f1c9759420376
K21_RS00,21,9,0.37911192263004706,5.817267796406419,0.8,0.6,0.8,13.846987048256267,59d00333ee8e0b7a3c20a1b8726f114d4f499ad3
K21_RS01,21,9,0.10758069710527893,1.7271464503388667,0.6,0.1,0.6,6.935626120228137,4b4fcf08f0aadec0049f705a907248105e0280c7
K21_RS02,21,8,0.005197368775458155,2.286865659038542,1.0,0.6,0.7,25.396136285145545,3545162bc4b4458856d61ca624af77a7142616fc
K21_RS03,21,8,0.4341199098897067,2.753337353523153,0.6,0.3,0.5,1.005573467258168,38f88775c2064e43b3c61336f96fb99899ae61f0
K21_RS04,21,10,0.06097145397959085,3.6270326103838815,1.0,0.7,1.0,289.4877205798564,19608e26b85251ee8a307c0ba5b191592f82be5d
K21_RS05,21,8,0.3649230174308847,3.917375138475435,0.7,0.2,0.7,1.9834354444433986,a1bf15470de79da9b63ceb5c9a0256afa2b4ad86
K23_RS00,23,10,4.1506003915717935,8.262955998644443,0.7272727272727273,0.09090909090909091,0.5454545454545454,1.8840015865016866,2a83b7e0de7c5c9d98ec0121b3be72003ae1d0cd
K23_RS01,23,6,0.6539886185946274,4.416911683994586,0.7272727272727273,0.2727272727272727,0.45454545454545453,16.395219233325058,37275af04ac40a841b019e6f0a1efe2359f0d649
K23_RS02,23,9,0.0062907246227279015,1.0,0.9090909090909091,0.7272727272727273,0.8181818181818182,52.1624007701472,961e59f8a18539d6b27cf14e32af0ffb6efea3c2
K23_RS03,23,6,0.01905273939778138,1.0,0.8181818181818182,0.5454545454545454,0.8181818181818182,8.952302281211185,e07c4c3687a1134efbe64df23097caf587d45d3b
K25_RS00,25,8,2.514189142508353e-07,2.1769569603007635,0.75,0.5833333333333334,0.5833333333333334,739824.4070980696,f8d5e50967cdf4a9b76df5287618bdaa2b2284d3
K25_RS01,25,8,0.25158906361858846,2.880833040925233,0.6666666666666666,0.16666666666666666,0.5833333333333334,0.34029172610967756,e23955be8051e2bd6d3bf8ace302f53cd815b837
K25_RS02,25,8,0.000486355122069008,5.019957938451601,1.0,0.9166666666666666,1.0,24344.798424648532,98763d5019b67caed0baa11016ce8daedb5cddec
K27_RS00,27,9,0.2340296238743928,3.6706977046541205,0.8461538461538461,0.3076923076923077,0.8461538461538461,0.6979408705366631,fa9f68c0b171888ce2d271d67537797d95f12a8c
K27_RS01,27,8,0.0039255707331067044,1.0,0.6923076923076923,0.3076923076923077,0.6153846153846154,43.778698961017554,cbccaec432bc3c97032208f1a3852429cf2817a4
K27_RS02,27,7,0.2910753701975652,2.3669984128638744,0.7692307692307693,0.0,0.6923076923076923,5.795006040489894,dd37b18b22cf57496e5ba7a16be1e57705d1ade5
K27_RS03,27,10,1.4024803792351053,6.3785842030269935,0.6923076923076923,0.07692307692307693,0.6923076923076923,1.039531781172982,bd28c3bb56a759aae485faf407d4b30600370b02
K27_RS04,27,8,0.02776216995872267,2.9621959716576494,0.6923076923076923,0.3076923076923077,0.6923076923076923,1.1704761557886463,fc600595cfc8be3dd1a65eee674fce6ed24ec367
K27_RS05,27,8,0.15641427360085955,2.689123563447347,0.6153846153846154,0.0,0.9230769230769231,3.1476224472996566,6c785c714736a1067276b82c29eeed6ad723a4da
K29_RS00,29,7,0.9012923808043741,9.087431790311154,0.6428571428571429,0.5714285714285714,0.6428571428571429,15.521364609242138,75baa17fb5be582c58b0bf0c82b7bbd77cee007c
K29_RS01,29,10,0.10048429687378511,1.095306457174789,0.5714285714285714,0.14285714285714285,0.5,34.845535306613336,639fa0b929054ca74ef6c65111dc81664edfae4b
K29_RS02,29,9,0.06873020647349055,1.3690154653142392,0.5714285714285714,0.14285714285714285,0.7857142857142857,1.000038641509428,411e9bbd87156551d0f8b307c1fccaff928a2514
K31_RS00,31,10,0.09734682436253368,1.9667244805124833,0.8,0.3333333333333333,0.6666666666666666,1.0004899766228657,9c7c076065a1016d1813f7648657e7f64beeaf6c
K31_RS01,31,10,1.5689692773783147e-08,1.0,1.0,0.9333333333333333,1.0,14705094.002415951,ce631692924861c645c36dd64ae092aa1082c551
K31_RS02,31,9,0.12896551341308365,1.9415766941812629,0.8,0.13333333333333333,0.7333333333333333,7.815788023505498,dfe543dad527f005b74bcbcb9de0c2e91c13c668
K31_RS03,31,10,0.09667986183183506,3.638015366832635,0.8,0.4666666666666667,0.8,58.03688587345892,4c46958f44445ef0e0d9d31739455145a78b434c
K31_RS04,31,10,0.0035701785033159326,1.1565213658328724,0.9333333333333333,0.4666666666666667,0.8666666666666667,1.4218523976849011,86276866ee4a716b9670d7e7f46e26c00855b6d3
K31_RS05,31,9,0.1306916901060987,3.04880551688251,0.6666666666666666,0.06666666666666667,0.4666666666666667,2.0449499240800164,400d17287208cc524b706f7b9c53144898cf9cd3
