generation,best_fitness
0,8.33605748569714
1,8.33605748569714
2,2.3928689016669127
3,2.3928689016669127
4,2.3928689016669127
5,0.8035417387745681
6,0.8035417387745681
7,0.8035417387745681
8,0.8035417387745681
9,0.8035417387745681
10,0.8035417387745681
11,0.8035417387745681
12,0.8035417387745681
13,0.8035417387745681
14,0.8035417387745681
15,0.8035417387745681
16,0.8035417387745681
17,0.8035417387745681
18,0.8035417387745681
19,0.8035417387745681
20,0.8035417387745681
21,0.8035417387745681
22,0.8035417387745681
23,0.8035417387745681
24,0.8035417387745681
25,0.8035417387745681
26,0.8035417387745681
27,0.8035417387745681
28,0.8035417387745681
29,0.8035417387745681
30,0.8035417387745681
31,0.8035417387745681
32,0.8035417387745681
33,0.8035417387745681
34,0.8035417387745681
35,0.8035417387745681
36,0.8035417387745681
37,0.8035417387745681
38,0.8035417387745681
39,0.8035417387745681
40,0.8035417387745681
41,0.8035417387745681
42,0.8035417387745681
43,0.8035417387745681
44,0.8035417387745681
45,0.8035417387745681
46,0.8035417387745681
47,0.8035417387745681
48,0.8035417387745681
49,0.8035417387745681
50,0.8035417387745681
51,0.8035417387745681
52,0.8035417387745681
53,0.8035417387745681
54,0.8035417387745681
55,0.8035417387745681
56,0.8035417387745681
57,0.8035417387745681
58,0.8035417387745681
59,0.8035417387745681
60,0.8035417387745681
61,0.8035417387745681
62,0.8035417387745681
63,0.8035417387745681
64,0.8035417387745681
65,0.8035417387745681
66,0.8035417387745681
67,0.8035417387745681
68,0.8035417387745681
69,0.8035417387745681
70,0.8035417387745681
71,0.8035417387745681
72,0.8035417387745681
73,0.8035417387745681
74,0.8035417387745681
75,0.8035417387745681
76,0.8035417387745681
77,0.8035417387745681
78,0.8035417387745681
79,0.8035417387745681
80,0.8035417387745681
81,0.8035417387745681
82,0.8035417387745681
83,0.8035417387745681
84,0.8035417387745681
85,0.8035417387745681
86,0.8035417387745681
87,0.8035417387745681
88,0.8035417387745681
89,0.8035417387745681
90,0.8035417387745681
91,0.8035417387745681
92,0.8035417387745681
93,0.8035417387745681
94,0.8035417387745681
95,0.8035417387745681
96,0.8035417387745681
97,0.8035417387745681
98,0.8035417387745681
99,0.8035417387745681
100,0.8035417387745681
101,0.8035417387745681
102,0.8035417387745681
103,0.8035417387745681
104,0.8035417387745681
105,0.8035417387745681
106,0.8035417387745681
107,0.8035417387745681
108,0.8035417387745681
109,0.8035417387745681
110,0.8035417387745681
111,0.8035417387745681
112,0.8035417387745681
113,0.8035417387745681
114,0.8035417387745681
115,0.8035417387745681
116,0.8035417387745681
117,0.8035417387745681
118,0.8035417387745681
119,0.8035417387745681
120,0.8035417387745681
121,0.8035417387745681
122,0.8035417387745681
123,0.8035417387745681
124,0.8035417387745681
125,0.8035417387745681
126,0.8035417387745681
127,0.8035417387745681
128,0.8035417387745681
129,0.8035417387745681
130,0.8035417387745681
131,0.8035417387745681
132,0.8035417387745681
133,0.8035417387745681
134,0.8035417387745681
135,0.8035417387745681
136,0.8035417387745681
137,0.8035417387745681
138,0.8035417387745681
139,0.8035417387745681
140,0.8035417387745681
141,0.8035417387745681
142,0.8035417387745681
143,0.8035417387745681
144,0.8035417387745681
145,0.8035417387745681
146,0.8035417387745681
147,0.8035417387745681
148,0.8035417387745681
149,0.8035417387745681
150,0.8035417387745681
151,0.8035417387745681
152,0.8035417387745681
153,0.8035417387745681
154,0.8035417387745681
155,0.8035417387745681
156,0.8035417387745681
157,0.8035417387745681
158,0.8035417387745681
159,0.8035417387745681
160,0.8035417387745681
161,0.8035417387745681
162,0.8035417387745681
163,0.8035417387745681
164,0.8035417387745681
165,0.8035417387745681
166,0.8035417387745681
167,0.8035417387745681
168,0.8035417387745681
169,0.8035417387745681
170,0.8035417387745681
171,0.8035417387745681
172,0.8035417387745681
173,0.8035417387745681
174,0.8035417387745681
175,0.8035417387745681
176,0.8035417387745681
177,0.8035417387745681
178,0.8035417387745681
179,0.8035417387745681
180,0.8035417387745681
181,0.8035417387745681
182,0.8035417387745681
183,0.8035417387745681
184,0.8035417387745681
185,0.8035417387745681
186,0.8035417387745681
187,0.8035417387745681
188,0.8035417387745681
189,0.8035417387745681
190,0.8035417387745681
191,0.8035417387745681
192,0.8035417387745681
193,0.8035417387745681
194,0.8035417387745681
195,0.8035417387745681
196,0.8035417387745681
197,0.8035417387745681
198,0.8035417387745681
199,0.8035417387745681
