Test ID,Test Case,Std Mean Err,Std StdDev Err,EML Mean Err,EML StdDev Err,Std Med Nodes,EML Med Nodes,Std Converge Rate,EML Converge Rate
1.1,Phase 1: f(x) = exp(x),0.000000,0.000000,0.000000,0.000000,2.0,3.0,1.000,1.000
1.2,Phase 1: f(x) = ln(x),0.000000,0.000000,0.000003,0.000008,2.0,7.0,1.000,0.800
1.3,"Phase 1: f(x1, x2) = x1 + x2",0.000000,0.000000,7.962137,1.537480,3.0,1.0,1.000,0.033
1.4,Phase 1: f(x) = exp(x) * exp(-x^2)  [EML home territory],0.004743,0.011851,0.131637,0.152061,19.0,299,0.600,0.000
2.1,Phase 2: f(x) = sin(x) + cos(x),0.003558,0.010671,0.178396,0.075357,26.0,459.0,0.433,0.000
3.1,Phase 3: f(x) = sinh(x),0.000000,0.000000,4.866120,2.408188,2.0,1.0,1.000,0.000
3.2,Phase 3: f(x) = arctan(x),0.000000,0.000000,0.337235,0.300368,2.0,476.0,1.000,0.000
3.3,Phase 3: f(x) = x^x,0.078900,0.167058,1.756597,0.572432,135,271.0,0.367,0.000
3.4,Phase 3: f(x) = 1 / (1 + exp(-x))  [sigmoid],0.001663,0.003769,0.016713,0.021274,391,425.0,0.133,0.000
3.5,Phase 3: f(x) = x^3 - 2x^2 + x  [EML stress: integer powers],0.000000,0.000000,289.016930,113.978257,33.0,303,1.000,0.000
4.1,Phase 4: f(x) = exp(sin(x)) + ln(x^2 + 1),0.122117,0.172118,0.420990,0.122347,529,382.0,0.000,0.000
4.2,"Phase 4: f(x1, x2) = sin(x1*exp(x2)) - cos(ln(x1^2+x2^2+0.1))",0.309780,0.086966,0.325857,0.047793,261.5,322.0,0.000,0.000
