Test ID,Test Case,Std Mean Err,Std StdDev Err,EML Mean Err,EML StdDev Err,Std Med Nodes,EML Med Nodes,Std Converge Rate,EML Converge Rate
1.1,Phase 1: f(x) = exp(x),0.000000,0.000000,0.000000,0.000000,2.0,3.0,1.000,1.000
1.2,Phase 1: f(x) = ln(x),0.000000,0.000000,0.000000,0.000001,2.0,7.0,1.000,0.767
1.3,"Phase 1: f(x1, x2) = x1 + x2",0.000000,0.000000,8.247484,0.352488,5.0,1,1.000,0.000
1.4,Phase 1: f(x) = exp(x) * exp(-x^2)  [EML home territory],0.006930,0.021118,FAIL,FAIL,13.5,FAIL,0.467,0.000
2.1,Phase 2: f(x) = sin(x) + cos(x),0.016193,0.023880,FAIL,FAIL,9.5,FAIL,0.200,0.000
3.1,Phase 3: f(x) = sinh(x),0.000000,0.000000,5.967460,0.779142,2.0,1,1.000,0.000
3.2,Phase 3: f(x) = arctan(x),0.000000,0.000000,FAIL,FAIL,2.0,FAIL,1.000,0.000
3.3,Phase 3: f(x) = x^x,0.366589,0.639135,FAIL,FAIL,13,FAIL,0.333,0.000
3.4,Phase 3: f(x) = 1 / (1 + exp(-x))  [sigmoid],0.003826,0.006349,FAIL,FAIL,108,FAIL,0.167,0.000
3.5,Phase 3: f(x) = x^3 - 2x^2 + x  [EML stress: integer powers],0.133333,0.730297,FAIL,FAIL,43.0,FAIL,0.933,0.000
4.1,Phase 4: f(x) = exp(sin(x)) + ln(x^2 + 1),0.276892,0.234762,FAIL,FAIL,83.5,FAIL,0.000,0.000
4.2,"Phase 4: f(x1, x2) = sin(x1*exp(x2)) - cos(ln(x1^2+x2^2+0.1))",0.351817,0.090432,FAIL,FAIL,111,FAIL,0.000,0.000
