Test ID,Test Case,Std Mean Err,Std StdDev Err,EML Mean Err,EML StdDev Err,Std Med Nodes,EML Med Nodes,Std Converge Rate,EML Converge Rate
1.1,Phase 1: f(x) = exp(x),0.000000,0.000000,0.000000,0.000000,2.0,3.0,1.000,1.000
1.2,Phase 1: f(x) = ln(x),0.000000,0.000000,0.000000,0.000000,2.0,7.0,1.000,0.400
1.3,"Phase 1: f(x1, x2) = x1 + x2",0.000000,0.000000,FAIL,FAIL,5.0,FAIL,1.000,0.000
1.4,Phase 1: f(x) = exp(x) * exp(-x^2)  [EML home territory],0.000127,0.000498,FAIL,FAIL,16,FAIL,0.833,0.000
2.1,Phase 2: f(x) = sin(x) + cos(x),0.002115,0.009303,FAIL,FAIL,13.5,FAIL,0.600,0.000
3.1,Phase 3: f(x) = sinh(x),0.000000,0.000001,FAIL,FAIL,2.0,FAIL,0.967,0.000
3.2,Phase 3: f(x) = arctan(x),0.000000,0.000000,FAIL,FAIL,2.0,FAIL,1.000,0.000
3.3,Phase 3: f(x) = x^x,0.010591,0.028324,FAIL,FAIL,18,FAIL,0.667,0.000
3.4,Phase 3: f(x) = 1 / (1 + exp(-x))  [sigmoid],0.000903,0.001382,0.006282,0.000014,50.5,27.0,0.133,0.000
3.5,Phase 3: f(x) = x^3 - 2x^2 + x  [EML stress: integer powers],0.000000,0.000000,FAIL,FAIL,38.0,FAIL,1.000,0.000
4.1,Phase 4: f(x) = exp(sin(x)) + ln(x^2 + 1),0.063770,0.132800,0.625409,0.116237,49.5,27,0.000,0.000
4.2,"Phase 4: f(x1, x2) = sin(x1*exp(x2)) - cos(ln(x1^2+x2^2+0.1))",0.289958,0.095105,FAIL,FAIL,29.0,FAIL,0.000,0.000
